Training Loss,Val Loss,Val MAE,Val R2,Val Dimensional Accuracy
0.1094689181543689,0.02775549985097437,0.053213358501091275,0.004299652643984242,0.37245762711864405
0.02225431786174533,0.027752316144287144,0.05326833084485369,0.00469205303592346,0.37415254237288137
0.02176772827144966,0.027233782209188605,0.05241326176892163,0.005002150459274435,0.37542372881355934
0.02208350792688813,0.027457836615360713,0.052314515662751006,0.005126372256954337,0.37457627118644066
0.021547030377570827,0.0210581878723734,0.05160966216404261,0.004683691364651632,0.363135593220339
0.02006926803653297,0.022445741142325722,0.05214844885906471,0.00463328804654739,0.29703389830508475
0.020541205885351563,0.020108565244743783,0.05163089905243211,0.007006240278966458,0.35
0.018767984611286287,0.019781514992730266,0.05161805255961322,0.00999773454071673,0.3877118644067797
0.018534166340225165,0.018844625553667695,0.05191536676995723,0.038548669588453155,0.3241525423728814
0.01767635861820467,0.017056794588920714,0.04984989613273637,0.09479780542487948,0.40127118644067794
0.016630408689900032,0.01816555953241038,0.051515068782686343,0.022588939972716937,0.3919491525423729
0.015678913056035526,0.017508386995621673,0.05127516647462163,0.03750947005501182,0.4033898305084746
0.014972456912029444,0.01616895055611444,0.050193747397775115,0.07825385271957697,0.41822033898305083
0.013724460282846298,0.016524131071627517,0.049128825169723084,0.19609687340864912,0.39788135593220336
0.013923403992852069,0.01620825059569867,0.04934583718441299,0.13646984085481073,0.3927966101694915
0.013208859394966787,0.013306709730966112,0.047440949843600054,0.2718137021475153,0.40127118644067794
0.011768918772621404,0.012282422855022852,0.04488807167137442,0.3262688334097624,0.4016949152542373
0.010467929904927698,0.012841151060410222,0.04404923573149402,0.3424302729207116,0.3995762711864407
0.010178986548095108,0.012141439193658435,0.042852597515766165,0.32427136813514623,0.39449152542372884
0.009216186196819322,0.01016184417905791,0.03896994214499778,0.4716990191279943,0.41440677966101697
0.0131735233748755,0.013691339906925627,0.04175550345018441,0.3103540032192591,0.4055084745762712
0.009825527731333172,0.01024981283077623,0.03894963618837764,0.4488846653736632,0.41652542372881357
0.008844322017632128,0.008595037239927293,0.036571759324098084,0.5432593237589904,0.43050847457627117
0.007381615367139051,0.007806873434002243,0.035972930957754126,0.5841741704079321,0.4228813559322034
0.006615756935967842,0.007611280406324066,0.03732902911829346,0.6114902128600032,0.42542372881355933
0.007028457386805905,0.007958449372998043,0.03558147793429286,0.565963156261512,0.43135593220338986
0.006622647854424996,0.007165149809453258,0.032490127562864395,0.5982238287441237,0.4398305084745763
0.006112227362433315,0.00635757792989676,0.03150525021795193,0.6520798996686479,0.4457627118644068
0.006855046532522961,0.009722152139036521,0.04110738969815183,0.4808290456684632,0.4228813559322034
0.007899620806600786,0.007077709148278839,0.03318116872025589,0.609331177142415,0.4347457627118644
0.005603026706728887,0.005516381782155989,0.030724933810058044,0.6904174846780904,0.45296610169491525
0.004969210634127111,0.006892443779792826,0.03200567815899484,0.6215533602467285,0.44449152542372883
0.0055281029162870254,0.005725983431231293,0.0292020598623652,0.6649194396471142,0.45677966101694917
