Epochs,Validation Scores,Validation Running Scores,Train Loss,Val RSME
0,0.8219988346099854,,,
1,0.8225687146186829,,,
2,0.8219561576843262,,,
3,0.8219369649887085,,,
4,0.8204414248466492,,,
5,0.8218963742256165,,,
6,0.8207231163978577,,,
7,0.8224122524261475,,,
8,0.8215218186378479,,,
9,0.8212811350822449,,,
10,0.828056275844574,,,
11,0.8244116902351379,,,
12,0.822972297668457,,,
13,0.8314124941825867,,,
14,0.8303959965705872,,,
0,,0.8219988346099854,,
1,,0.8225687146186829,,
2,,0.8219561576843262,,
3,,0.8219369649887085,,
4,,0.8204414248466492,,
5,,0.8218963742256165,,
6,,0.8207231163978577,,
7,,0.8224122524261475,,
8,,0.8215218186378479,,
9,,0.8212811350822449,,
10,,0.828056275844574,,
11,,0.8244116902351379,,
12,,0.822972297668457,,
13,,0.8314124941825867,,
14,,0.8303959965705872,,
0,,,0.995550475915927,
1,,,0.9911456115754648,
2,,,0.9885639513615241,
3,,,0.9853071860828335,
4,,,0.9802808220114245,
5,,,0.9761757983132883,
6,,,0.97105739734765,
7,,,0.9655842650379541,
8,,,0.9608303415816409,
9,,,0.9563056463820218,
10,,,0.9516027544731163,
11,,,0.9437358047074776,
12,,,0.9404968679166156,
13,,,0.9376171240472843,
14,,,0.9347159376510847,
0,,,,0.044183149933815
1,,,,0.04419846087694168
2,,,,0.044182002544403076
3,,,,0.04418148845434189
4,,,,0.04414127767086029
5,,,,0.04418039694428444
6,,,,0.04414885491132736
7,,,,0.044194262474775314
8,,,,0.044170331209897995
9,,,,0.04416386038064957
10,,,,0.04434564709663391
11,,,,0.04424794763326645
12,,,,0.044209305197000504
13,,,,0.04443542659282684
14,,,,0.04440825432538986
