Epochs,Validation Scores,Validation Running Scores,Train
0,0.8214436769485474,,
1,0.8203176259994507,,
2,0.8203176259994507,,
3,0.8197423815727234,,
4,0.8211574554443359,,
5,0.8236971497535706,,
6,0.8281995058059692,,
7,0.82570880651474,,
8,0.8302852511405945,,
9,0.833730936050415,,
10,0.8388940095901489,,
11,0.8430196642875671,,
12,0.8461865186691284,,
13,0.843640148639679,,
0,,0.8214436769485474,
1,,0.8203176259994507,
2,,0.8203176259994507,
3,,0.8197423815727234,
4,,0.8211574554443359,
5,,0.8236971497535706,
6,,0.8281995058059692,
7,,0.82570880651474,
8,,0.8302852511405945,
9,,0.833730936050415,
10,,0.8388940095901489,
11,,0.8430196642875671,
12,,0.8461865186691284,
13,,0.843640148639679,
0,,,0.9951555632911456
1,,,0.990920818529866
2,,,0.9878491496150327
3,,,0.9868039891972831
4,,,0.9811591043144532
5,,,0.9737943540906745
6,,,0.9652550257418314
7,,,0.9567787898344552
8,,,0.9494983280996271
9,,,0.9397674474150739
10,,,0.9274816727720464
11,,,0.9190731216620591
12,,,0.9082033497121736
13,,,0.9000015895524942
