Epochs,Validation Scores,Validation Running Scores,Train
0,0.8214436769485474,,
1,0.8203176259994507,,
2,0.8203176259994507,,
3,0.8197423815727234,,
4,0.8197423815727234,,
5,0.8195596933364868,,
6,0.8195596933364868,,
7,0.82133549451828,,
8,0.8239230513572693,,
9,0.8297786116600037,,
10,0.8275212049484253,,
11,0.8275018334388733,,
12,0.8323213458061218,,
13,0.8327782154083252,,
14,0.835128903388977,,
15,0.8415445685386658,,
16,0.8409832715988159,,
17,0.839826762676239,,
0,,0.8214436769485474,
1,,0.8203176259994507,
2,,0.8203176259994507,
3,,0.8197423815727234,
4,,0.8197423815727234,
5,,0.8195596933364868,
6,,0.8195596933364868,
7,,0.82133549451828,
8,,0.8239230513572693,
9,,0.8297786116600037,
10,,0.8275212049484253,
11,,0.8275018334388733,
12,,0.8323213458061218,
13,,0.8327782154083252,
14,,0.835128903388977,
15,,0.8415445685386658,
16,,0.8409832715988159,
17,,0.839826762676239,
0,,,0.9951555632911456
1,,,0.990920818529866
2,,,0.9878491496150327
3,,,0.9868039891972831
4,,,0.984220323594669
5,,,0.981666571308765
6,,,0.977169862872372
7,,,0.9744840123402267
8,,,0.9659330547883673
9,,,0.9579424820954229
10,,,0.9488147742294744
11,,,0.9401996348268401
12,,,0.9319651691771963
13,,,0.9240062730501453
14,,,0.9090254779883766
15,,,0.9015999496525027
16,,,0.8944596433697454
17,,,0.886909541457095
