Epochs,Normal Epoch Times,PAI Epoch Times
0,74.38476920127869,
1,115.78445076942444,
2,163.4767451286316,
3,250.06232714653015,
4,328.2584400177002,
5,328.47453784942627,
6,328.49693298339844,
7,327.94677901268005,
8,328.0445806980133,
9,327.58833408355713,
10,327.94321393966675,
11,327.40438985824585,
12,327.6666820049286,
13,327.2975149154663,
14,327.1375069618225,
0,,274.7906939983368
1,,328.76979398727417
2,,386.14175176620483
